frames,reward,dist
5000,0.0000,5.8457
10000,0.0000,4.4798
15000,0.0000,5.0243
20000,0.0000,4.8510
25000,0.0000,3.9319
30000,0.0000,5.7637
35000,0.0000,3.4800
40000,0.0000,3.9145
45000,0.0000,3.6837
50000,0.0000,3.8702
55000,0.0000,1.0579
60000,0.0000,1.4970
65000,0.0000,0.8264
70000,0.0000,1.1262
75000,0.0000,1.0267
80000,0.0000,1.0011
85000,0.0000,1.1656
90000,0.0000,0.8481
95000,0.0000,0.6349
100000,0.0000,1.0371
105000,0.0000,1.3579
110000,0.0000,1.3257
115000,0.0000,0.8919
120000,0.2000,1.9299
125000,0.0000,1.3436
130000,0.0000,0.8264
135000,0.1000,1.9020
140000,0.0000,1.2009
145000,0.0000,0.7171
150000,0.0000,1.6348
155000,0.0000,1.7359
160000,0.0000,0.7126
165000,0.0000,1.7336
170000,0.1000,1.6864
175000,0.2000,1.3346
180000,0.1000,0.8341
185000,0.3000,1.0102
190000,0.0000,0.7503
195000,0.0000,0.8240
200000,0.0000,1.1371
205000,0.2000,1.2448
210000,0.0000,1.3193
215000,0.0000,1.8663
220000,0.2000,1.7696
225000,0.0000,1.1701
230000,0.2000,0.6192
235000,0.2000,1.1823
240000,0.0000,0.8339
245000,0.0000,1.1745
250000,0.1000,1.0038
255000,0.0000,1.2564
260000,0.4000,1.0969
265000,0.0000,1.0413
270000,0.2000,0.9738
275000,0.1000,1.0597
280000,0.0000,1.1748
285000,0.1000,0.7171
290000,0.5000,1.3032
295000,0.0000,1.0268
300000,0.3000,0.5652
305000,0.3000,0.9134
310000,0.0000,1.2504
315000,0.3000,1.4958
320000,0.1000,0.5919
325000,0.4000,0.9585
330000,0.0000,1.2247
335000,0.2000,0.8968
340000,0.0000,0.8686
345000,0.2000,0.8345
350000,0.3000,0.6705
355000,0.0000,0.6495
360000,0.2000,0.9073
365000,0.4000,0.8658
370000,0.2000,1.4232
375000,0.4000,1.2204
380000,0.3000,1.1998
385000,0.5000,0.8327
390000,0.4000,0.9380
395000,0.2000,0.9794
400000,0.5000,0.9863
405000,0.2000,0.9137
410000,0.2000,0.8632
415000,0.2000,1.0935
420000,0.3000,0.8920
425000,0.2000,0.5352
430000,0.4000,0.7836
435000,0.2000,0.7301
440000,0.0000,0.5035
445000,0.4000,1.2000
450000,0.1000,1.2201
455000,0.4000,0.8373
460000,0.2000,1.2597
465000,0.3000,1.4109
470000,0.3000,0.8997
475000,0.2000,0.7306
480000,0.5000,1.2000
485000,0.0000,1.6538
490000,0.2000,0.9648
495000,0.4000,0.9428
500000,0.4000,0.9746
505000,0.1000,1.3162
510000,0.2000,0.5765
515000,0.3000,1.0467
520000,0.4000,0.8891
525000,0.2000,0.5527
530000,0.1000,1.0127
535000,0.7000,1.1636
540000,0.1000,1.4983
545000,0.6000,0.7889
550000,0.5000,1.3461
555000,0.4000,0.6350
560000,0.5000,1.1438
565000,0.4000,0.9027
570000,0.3000,0.8513
575000,0.4000,0.6043
580000,0.7000,1.0376
585000,0.4000,1.0425
590000,0.4000,0.7888
595000,0.4000,1.0206
600000,0.4000,0.7042
605000,0.3000,1.0004
610000,0.3000,1.3784
615000,0.3000,0.8202
620000,0.7000,1.0442
625000,0.3000,1.1731
630000,0.3000,1.1536
635000,0.3000,0.6833
640000,0.4000,0.6525
645000,0.2000,0.5712
650000,0.5000,0.9681
655000,0.7000,1.2272
660000,0.5000,0.9613
665000,0.5000,0.8376
670000,0.4000,0.7760
675000,0.6000,1.1125
680000,0.5000,1.2772
685000,0.3000,1.0949
690000,0.5000,0.9816
695000,0.1000,1.2559
700000,0.1000,0.5750
705000,0.4000,1.0597
710000,0.2000,0.5340
715000,0.5000,1.1927
720000,0.3000,0.8723
725000,0.1000,0.7358
730000,0.5000,0.8993
735000,0.4000,0.5587
740000,0.8000,1.1489
745000,0.4000,0.5115
750000,0.4000,0.7066
755000,0.5000,0.9671
760000,0.3000,1.0196
765000,0.5000,0.7291
770000,0.4000,0.8480
775000,0.7000,1.5012
780000,0.2000,0.6533
785000,0.4000,0.7141
790000,0.2000,0.7755
795000,0.4000,0.7441
800000,0.2000,0.5137
805000,0.1000,0.4820
810000,0.5000,0.8443
815000,0.3000,0.6055
820000,0.5000,0.8785
825000,0.4000,0.5558
830000,0.6000,1.2564
835000,0.0000,0.7446
840000,0.2000,0.8528
845000,0.5000,0.5237
850000,0.5000,0.6934
855000,0.6000,1.1508
860000,0.5000,0.9893
865000,0.4000,0.9292
870000,0.4000,0.5582
875000,0.4000,0.6687
880000,0.6000,0.6898
885000,0.2000,0.9643
890000,0.4000,0.8540
895000,0.4000,0.6083
900000,0.4000,0.6455
905000,0.3000,0.9302
910000,0.3000,0.9310
915000,0.5000,0.7030
920000,0.2000,1.0184
925000,0.3000,0.6736
930000,0.7000,1.1578
935000,0.4000,0.7099
940000,0.3000,0.6297
945000,0.5000,0.6708
950000,0.1000,0.6297
955000,0.4000,0.6496
960000,0.2000,0.7513
965000,0.1000,0.6072
970000,0.4000,0.4590
975000,0.4000,0.7174
980000,0.4000,0.6245
985000,0.2000,0.4537
990000,0.1000,0.4051
995000,0.4000,0.6889
1000000,0.2000,0.5347
