frames,reward,dist
5000,-50.0000,0.0834
10000,-50.0000,0.0703
15000,-50.0000,0.0775
20000,-50.0000,0.0822
25000,-45.0000,0.0755
30000,-50.0000,0.0776
35000,-45.0000,0.0807
40000,-50.0000,0.0799
45000,-50.0000,0.0778
50000,-50.0000,0.0781
55000,-50.0000,0.0798
60000,-50.0000,0.0820
65000,-50.0000,0.0806
70000,-50.0000,0.0794
75000,-50.0000,0.0803
80000,-50.0000,0.0833
85000,-50.0000,0.0829
90000,-50.0000,0.0836
95000,-50.0000,0.0835
100000,-50.0000,0.0855
105000,-45.0000,0.0835
110000,-50.0000,0.0836
115000,-50.0000,0.0837
120000,-45.0000,0.0850
125000,-50.0000,0.0826
130000,-50.0000,0.0858
135000,-45.0000,0.0825
140000,-50.0000,0.0842
145000,-50.0000,0.0854
150000,-45.0000,0.0854
155000,-50.0000,0.0839
160000,-50.0000,0.0840
165000,-50.0000,0.0834
170000,-50.0000,0.0847
175000,-45.0000,0.0846
180000,-50.0000,0.0826
185000,-50.0000,0.0841
190000,-50.0000,0.0839
195000,-50.0000,0.0834
200000,-50.0000,0.0848
205000,-50.0000,0.0846
210000,-45.0000,0.0834
215000,-50.0000,0.0823
220000,-45.0000,0.0833
225000,-50.0000,0.0827
230000,-50.0000,0.0844
235000,-45.0000,0.0829
240000,-50.0000,0.0809
245000,-50.0000,0.0823
250000,-50.0000,0.0826
255000,-50.0000,0.0830
260000,-50.0000,0.0841
265000,-45.0000,0.0824
270000,-50.0000,0.0812
275000,-45.0000,0.0832
280000,-50.0000,0.0848
285000,-45.0000,0.0858
290000,-50.0000,0.0826
295000,-45.0000,0.0850
300000,-50.0000,0.0812
305000,-50.0000,0.0846
310000,-50.0000,0.0859
315000,-45.0000,0.0828
320000,-50.0000,0.0837
325000,-50.0000,0.0839
330000,-50.0000,0.0828
335000,-45.0000,0.0835
340000,-50.0000,0.0845
345000,-50.0000,0.0847
350000,-50.0000,0.0838
355000,-45.0000,0.0836
360000,-50.0000,0.0861
365000,-45.0000,0.0848
370000,-45.0000,0.0846
375000,-50.0000,0.0828
380000,-50.0000,0.0819
385000,-50.0000,0.0811
390000,-50.0000,0.0853
395000,-50.0000,0.0857
400000,-50.0000,0.0858
405000,-50.0000,0.0840
410000,-50.0000,0.0816
415000,-50.0000,0.0843
420000,-50.0000,0.0837
425000,-50.0000,0.0850
430000,-50.0000,0.0843
435000,-50.0000,0.0841
440000,-45.0000,0.0842
445000,-50.0000,0.0859
450000,-45.0000,0.0844
455000,-50.0000,0.0835
460000,-50.0000,0.0793
465000,-50.0000,0.0850
470000,-50.0000,0.0834
475000,-50.0000,0.0804
480000,-50.0000,0.0850
485000,-45.0000,0.0859
490000,-50.0000,0.0843
495000,-50.0000,0.0845
500000,-45.0000,0.0842
