frames,reward,dist
5000,0.0000,0.4163
10000,0.0000,0.0932
15000,0.0000,0.1364
20000,0.0000,0.0806
25000,0.0000,0.0601
30000,0.0000,0.0568
35000,0.0000,0.0354
40000,0.0000,0.0569
45000,0.0000,0.0253
50000,0.0000,0.0448
55000,0.0000,0.0231
60000,0.0000,1.0996
65000,0.0000,0.8602
70000,0.0000,1.2005
75000,0.0000,1.2062
80000,0.0000,1.1886
85000,0.0000,0.7487
90000,0.0000,0.5347
95000,0.0000,0.6161
100000,0.0000,0.4551
105000,0.0000,0.3708
110000,0.0000,0.3139
115000,0.0000,0.4576
120000,0.0000,0.6263
125000,0.0000,0.5297
130000,0.0000,0.5227
135000,0.0000,0.4246
140000,0.0000,0.3623
145000,0.0000,0.4151
150000,0.0000,1.3291
155000,0.0000,0.6192
160000,0.0000,0.6045
165000,0.0000,1.2453
170000,0.0000,1.0814
175000,0.0000,0.9992
180000,0.0000,0.7891
185000,0.1000,0.8013
190000,0.0000,1.2272
195000,0.0000,1.2058
200000,0.0000,0.9497
205000,0.3000,0.9859
210000,0.0000,0.7634
215000,0.0000,1.1888
220000,0.3000,1.1444
225000,0.3000,1.1782
230000,0.2000,1.0298
235000,0.2000,1.0630
240000,0.6000,1.0127
245000,0.7000,1.0619
250000,0.7000,0.9991
255000,0.8000,1.1071
260000,0.6000,1.1223
265000,0.7000,0.9977
270000,0.8000,0.9960
275000,0.9000,1.0186
280000,0.7000,1.1400
285000,0.8000,1.1601
290000,0.7000,1.1378
295000,0.4000,1.0780
300000,0.9000,0.9252
305000,0.6000,1.0902
310000,0.7000,1.1033
315000,1.0000,0.9886
320000,0.7000,1.1585
325000,0.8000,1.0756
330000,0.6000,1.1585
335000,0.6000,1.1112
340000,0.6000,1.1604
345000,0.9000,1.0453
350000,0.8000,1.1380
355000,0.9000,1.1170
360000,0.8000,1.0189
365000,0.6000,1.0754
370000,0.4000,1.1458
375000,0.4000,1.1326
380000,0.4000,1.1160
385000,0.3000,1.1867
390000,0.2000,1.1707
395000,0.6000,1.0345
400000,0.7000,1.0420
405000,0.8000,1.1436
410000,0.7000,1.0974
415000,0.6000,1.1486
420000,0.4000,1.1866
425000,0.3000,1.2264
430000,0.4000,1.1025
435000,0.5000,1.0582
440000,1.0000,1.0682
445000,0.5000,1.2012
450000,0.6000,1.1277
455000,0.9000,1.0699
460000,0.4000,1.2050
465000,0.5000,1.2002
470000,0.8000,1.1055
475000,0.5000,1.2119
480000,0.5000,1.1763
485000,0.3000,1.1595
490000,0.4000,1.2407
495000,0.2000,1.1462
500000,0.2000,1.2241
