frames,reward,dist
5000,0.0000,0.1503
10000,0.0000,0.0868
15000,0.0000,0.0932
20000,0.0000,0.1174
25000,0.0000,0.1232
30000,0.0000,0.0286
35000,0.0000,0.0328
40000,0.0000,0.0263
45000,0.0000,0.0465
50000,0.0000,0.0609
55000,0.0000,0.0615
60000,0.0000,1.6229
65000,0.0000,1.1901
70000,0.0000,1.1163
75000,0.0000,0.8796
80000,0.0000,0.6156
85000,0.0000,0.6497
90000,0.0000,0.7973
95000,0.0000,1.0183
100000,0.0000,0.8138
105000,0.0000,0.5231
110000,0.0000,0.6974
115000,0.0000,0.5365
120000,0.0000,0.5159
125000,0.0000,0.7017
130000,0.0000,0.3690
135000,0.0000,0.4194
140000,0.0000,0.6522
145000,0.0000,0.8727
150000,0.0000,0.7407
155000,0.0000,0.5993
160000,0.0000,0.8265
165000,0.0000,0.7034
170000,0.0000,1.0734
175000,0.0000,0.9237
180000,0.5000,0.6808
185000,0.3000,0.8411
190000,0.8000,0.8817
195000,0.1000,0.5106
200000,0.4000,0.7448
205000,0.6000,0.8934
210000,0.1000,1.0389
215000,0.8000,0.7918
220000,0.8000,0.9955
225000,0.4000,1.0880
230000,0.7000,0.7944
235000,0.6000,0.9299
240000,0.3000,1.0645
245000,0.7000,0.9308
250000,0.9000,1.0234
255000,0.4000,0.8174
260000,0.4000,0.7713
265000,0.3000,0.9579
270000,0.4000,0.8717
275000,0.7000,0.9385
280000,0.5000,0.7696
285000,0.2000,0.8493
290000,0.5000,0.8965
295000,1.0000,0.8207
300000,0.8000,0.8719
305000,0.7000,0.9282
310000,0.9000,0.8862
315000,0.3000,1.0783
320000,0.3000,0.9087
325000,0.5000,1.1021
330000,0.5000,0.9811
335000,0.6000,0.9337
340000,0.3000,1.1249
345000,0.3000,0.9734
350000,0.9000,0.9479
355000,0.0000,1.0148
360000,0.5000,0.9780
365000,0.2000,1.2189
370000,0.4000,0.8511
375000,0.6000,0.8495
380000,0.0000,1.2054
385000,0.5000,0.8883
390000,0.6000,1.1328
395000,0.3000,0.9801
400000,0.9000,1.0064
405000,1.0000,0.9996
410000,0.3000,1.0821
415000,0.5000,1.0520
420000,0.9000,1.0432
425000,0.6000,1.0295
430000,0.6000,1.1284
435000,0.7000,1.0337
440000,0.7000,1.0738
445000,0.8000,1.1276
450000,0.5000,1.1275
455000,0.8000,0.9780
460000,0.8000,1.0741
465000,0.9000,1.0098
470000,0.9000,1.0323
475000,0.8000,1.1186
480000,0.8000,1.0530
485000,0.4000,1.0787
490000,0.9000,0.9991
495000,1.0000,0.9792
500000,1.0000,0.9840
