frames,reward,dist
5000,0.2000,0.0305
10000,0.0000,0.0354
15000,0.8000,0.0243
20000,0.0000,0.0107
25000,0.0000,0.0065
30000,0.4000,0.0187
35000,0.0000,0.0063
40000,0.8000,0.0055
45000,0.7000,0.0142
50000,0.5000,0.0150
55000,0.0000,0.0064
60000,0.0000,0.1097
65000,0.0000,0.2425
70000,0.0000,0.2440
75000,1.0000,0.2969
80000,1.0000,0.3402
85000,0.9000,0.2509
90000,1.0000,0.2904
95000,0.4000,0.2355
100000,0.7000,0.2939
105000,1.0000,0.3140
110000,1.0000,0.3177
115000,0.2000,0.4100
120000,1.0000,0.3060
125000,1.0000,0.3206
130000,1.0000,0.3217
135000,1.0000,0.3100
140000,1.0000,0.3204
145000,1.0000,0.3459
150000,1.0000,0.3388
155000,1.0000,0.3451
160000,1.0000,0.3159
165000,0.9000,0.3355
170000,1.0000,0.3563
175000,1.0000,0.3329
180000,1.0000,0.3239
185000,1.0000,0.3235
190000,0.9000,0.3046
195000,1.0000,0.3527
200000,1.0000,0.3385
205000,1.0000,0.3120
210000,0.9000,0.3254
215000,1.0000,0.3672
220000,1.0000,0.3351
225000,1.0000,0.3093
230000,1.0000,0.3146
235000,1.0000,0.3377
240000,1.0000,0.3034
245000,1.0000,0.3761
250000,1.0000,0.3254
255000,1.0000,0.3411
260000,1.0000,0.3458
265000,1.0000,0.3299
270000,0.9000,0.2707
275000,1.0000,0.3365
280000,1.0000,0.3126
285000,1.0000,0.3233
290000,1.0000,0.3349
295000,1.0000,0.3220
300000,1.0000,0.3229
