frames,reward,dist
5000,0.0000,0.0009
10000,0.1000,0.0012
15000,0.0000,0.0010
20000,0.5000,0.0186
25000,0.0000,0.0100
30000,0.1000,0.0062
35000,0.0000,0.0056
40000,0.3000,0.0222
45000,0.0000,0.0055
50000,0.9000,0.0343
55000,0.0000,0.0088
60000,0.2000,0.1227
65000,0.5000,0.1266
70000,0.9000,0.2414
75000,0.7000,0.2960
80000,0.6000,0.3513
85000,0.0000,0.3707
90000,0.9000,0.3509
95000,0.8000,0.3383
100000,0.9000,0.3845
105000,0.7000,0.3939
110000,0.9000,0.4365
115000,0.3000,0.3232
120000,0.3000,0.3260
125000,1.0000,0.4802
130000,0.4000,0.5179
135000,0.4000,0.4290
140000,0.9000,0.4208
145000,0.7000,0.4085
150000,0.7000,0.5042
155000,0.9000,0.4406
160000,0.6000,0.4442
165000,1.0000,0.5541
170000,0.8000,0.2504
175000,0.8000,0.2968
180000,0.5000,0.4396
185000,0.7000,0.3197
190000,0.4000,0.3454
195000,0.8000,0.4965
200000,0.5000,0.3931
205000,0.7000,0.4554
210000,1.0000,0.5192
215000,1.0000,0.5424
220000,0.7000,0.5367
225000,0.8000,0.4986
230000,0.8000,0.4272
235000,1.0000,0.5621
240000,1.0000,0.6237
245000,0.9000,0.5766
250000,1.0000,0.5272
255000,1.0000,0.5032
260000,1.0000,0.5095
265000,0.9000,0.4426
270000,1.0000,0.5916
275000,1.0000,0.5321
280000,0.8000,0.4458
285000,1.0000,0.7148
290000,0.9000,0.5752
295000,0.9000,0.5886
300000,1.0000,0.6012
305000,1.0000,0.8212
310000,1.0000,0.6646
315000,1.0000,0.6999
320000,0.0000,0.4457
325000,0.4000,0.4709
330000,0.5000,0.1995
335000,0.0000,0.2049
340000,0.1000,0.2132
345000,0.7000,0.1996
350000,0.8000,0.3639
355000,0.9000,0.3876
360000,1.0000,0.2652
365000,0.9000,0.2945
370000,1.0000,0.4133
375000,1.0000,0.3648
380000,1.0000,0.2908
385000,1.0000,0.3894
390000,1.0000,0.3226
395000,0.7000,0.4337
400000,0.9000,0.3099
405000,1.0000,0.3405
410000,1.0000,0.2914
415000,1.0000,0.3750
420000,1.0000,0.3501
425000,1.0000,0.3776
430000,1.0000,0.3035
435000,0.9000,0.3178
440000,1.0000,0.3880
445000,1.0000,0.2888
450000,0.8000,0.4525
455000,1.0000,0.3286
460000,1.0000,0.2652
465000,1.0000,0.3275
470000,0.8000,0.2703
475000,1.0000,0.2437
480000,0.9000,0.3153
485000,1.0000,0.2838
490000,0.9000,0.2949
495000,1.0000,0.3651
500000,1.0000,0.3480
