frames,reward,dist
5000,0.0000,8.0869
10000,0.0000,6.9919
15000,0.0000,6.3391
20000,0.0000,5.5979
25000,0.0000,6.3058
30000,0.0000,5.4192
35000,0.0000,4.5104
40000,0.0000,5.3122
45000,0.0000,4.3320
50000,0.0000,3.3723
55000,0.0000,0.2893
60000,0.0000,1.4976
65000,0.0000,1.6998
70000,0.0000,1.2352
75000,0.0000,0.9451
80000,0.0000,1.9414
85000,0.0000,1.2681
90000,0.0000,1.7085
95000,0.0000,1.2471
100000,0.0000,1.4109
105000,0.0000,1.2760
110000,0.0000,1.0095
115000,0.0000,1.4051
120000,0.0000,1.4769
125000,0.0000,1.3395
130000,0.0000,0.8892
135000,0.0000,0.8855
140000,0.0000,1.3898
145000,0.0000,1.4430
150000,0.0000,1.2182
155000,0.0000,1.4442
160000,0.0000,1.0722
165000,0.0000,1.3236
170000,0.0000,1.0702
175000,0.0000,1.1605
180000,0.0000,1.2993
185000,0.0000,1.2213
190000,0.0000,1.0767
195000,0.0000,1.1503
200000,0.1000,1.0836
205000,0.0000,1.0108
210000,0.0000,1.0308
215000,0.0000,0.8560
220000,0.1000,0.8246
225000,0.0000,0.8628
230000,0.1000,0.6711
235000,0.0000,0.8729
240000,0.1000,0.7951
245000,0.1000,0.7533
250000,0.2000,0.7806
255000,0.2000,0.8736
260000,0.2000,0.8992
265000,0.3000,0.8940
270000,0.2000,0.7773
275000,0.1000,0.6802
280000,0.0000,0.8947
285000,0.1000,0.8185
290000,0.1000,0.8155
295000,0.3000,0.6340
300000,0.1000,0.7358
305000,0.1000,0.5568
310000,0.8000,0.5456
315000,0.4000,0.5263
320000,0.6000,0.5460
325000,0.2000,0.6742
330000,0.2000,0.6075
335000,0.5000,0.4655
340000,0.7000,0.5202
345000,0.4000,0.7861
350000,0.4000,0.4664
355000,0.2000,0.6241
360000,0.4000,0.6576
365000,0.5000,0.6313
370000,0.0000,0.6100
375000,0.5000,0.5197
380000,0.3000,0.5104
385000,0.3000,0.5106
390000,0.1000,0.7605
395000,0.1000,0.6716
400000,0.2000,0.5290
405000,0.2000,0.5538
410000,0.0000,0.6246
415000,0.2000,0.6478
420000,0.0000,0.5602
425000,0.1000,0.4233
430000,0.5000,0.5164
435000,0.0000,0.5565
440000,0.2000,0.6871
445000,0.3000,0.6016
450000,0.5000,0.5866
455000,0.1000,0.6123
460000,0.4000,0.4238
465000,0.6000,0.5865
470000,0.1000,0.5689
475000,0.2000,0.6639
480000,0.2000,0.6702
485000,0.5000,0.5418
490000,0.9000,0.8239
495000,0.3000,0.5540
500000,0.2000,0.6647
505000,0.4000,0.4814
510000,0.1000,0.5979
515000,0.2000,0.5543
520000,0.4000,0.5941
525000,0.8000,0.6369
530000,0.5000,0.5622
535000,0.5000,0.5072
540000,0.1000,0.6159
545000,0.4000,0.5084
550000,0.5000,0.5537
555000,0.7000,0.5762
560000,0.4000,0.5031
565000,0.2000,0.5874
570000,0.5000,0.5797
575000,0.2000,0.5361
580000,0.8000,0.4855
585000,0.1000,0.4465
590000,0.4000,0.4957
595000,0.5000,0.3834
600000,0.4000,0.4481
605000,0.1000,0.5000
610000,0.7000,0.5080
615000,0.4000,0.5938
620000,0.4000,0.6207
625000,0.5000,0.5601
630000,0.4000,0.5130
635000,0.6000,0.4604
640000,0.3000,0.6528
645000,0.5000,0.6450
650000,0.4000,0.4967
655000,0.2000,0.3859
660000,0.3000,0.6686
665000,0.1000,0.6458
670000,0.4000,0.5504
675000,0.4000,0.5949
680000,0.5000,0.5244
685000,0.8000,0.6261
690000,0.3000,0.6242
695000,0.5000,0.5809
700000,0.3000,0.4867
705000,0.3000,0.5852
710000,0.6000,0.5876
715000,0.2000,0.7590
720000,0.5000,0.7125
725000,0.2000,0.5908
730000,0.5000,0.6083
735000,0.5000,0.6253
740000,0.2000,0.6525
745000,0.6000,0.8552
750000,0.4000,0.7031
755000,0.1000,0.6159
760000,0.5000,0.8057
765000,0.3000,0.7771
770000,0.4000,0.9761
775000,0.2000,0.7116
780000,0.3000,0.6694
785000,0.2000,0.6981
790000,0.4000,0.6564
795000,0.4000,0.8153
800000,0.5000,0.7930
805000,0.2000,0.6139
810000,0.7000,1.0018
815000,0.8000,1.0715
820000,0.4000,0.9217
825000,0.6000,0.9668
830000,0.4000,0.7711
835000,0.3000,0.8244
840000,0.4000,0.7785
845000,0.6000,0.8353
850000,0.4000,1.1956
855000,0.5000,0.7626
860000,0.3000,0.7387
865000,0.7000,0.9601
870000,0.4000,0.7820
875000,0.2000,0.5463
880000,0.4000,0.6767
885000,0.3000,1.0439
890000,0.6000,0.7601
895000,0.3000,0.7098
900000,0.5000,0.7201
905000,0.6000,0.8279
910000,0.7000,0.8374
915000,0.4000,0.6579
920000,0.4000,0.7250
925000,0.5000,0.8134
930000,0.6000,0.8157
935000,0.5000,0.9957
940000,0.2000,0.5887
945000,0.4000,0.7791
950000,0.2000,0.6665
955000,0.5000,0.9498
960000,0.7000,0.8830
965000,0.4000,0.8758
970000,0.4000,0.9057
975000,0.4000,0.6604
980000,0.2000,0.6608
985000,0.4000,0.8584
990000,0.5000,0.9108
995000,0.7000,0.9995
1000000,0.7000,0.9752
