frames,reward,dist
5000,-112.5074,0.0077
10000,-117.9276,0.0035
15000,-104.6652,0.0033
20000,-117.7655,0.0035
25000,-130.5138,0.0109
30000,-118.5561,0.0043
35000,-102.9054,0.0092
40000,-120.9243,0.0048
45000,-120.8586,0.0047
50000,-119.8096,0.0043
55000,-118.4026,0.0038
60000,-201.6861,0.8324
65000,-148.3859,1.0762
70000,-177.2885,1.3714
75000,-203.6920,1.7383
80000,-215.4285,2.3009
85000,-217.8507,2.0927
90000,-240.2524,2.1200
95000,-240.3007,2.3643
100000,-246.4456,2.2567
105000,-226.9143,1.6686
110000,-196.2455,2.0929
115000,-195.0091,1.7664
120000,-226.0512,2.0236
125000,-212.5238,2.0892
130000,-241.7037,1.9801
135000,-221.3022,2.2516
140000,-199.2517,2.3001
145000,-241.5995,2.1244
150000,-235.7216,1.9686
155000,-199.7032,2.3343
160000,-209.6520,2.0346
165000,-193.6927,2.3006
170000,-166.7391,2.2678
175000,-227.7174,2.1612
180000,-243.1950,2.2970
185000,-195.6123,2.2401
190000,-232.8782,2.1985
195000,-235.9936,2.4161
200000,-209.8616,2.4100
205000,-219.7240,2.1284
210000,-215.2470,2.3967
215000,-240.3280,2.2508
220000,-247.0853,2.3443
225000,-201.0517,2.2949
230000,-215.8443,2.5557
235000,-246.2862,2.3100
240000,-222.5657,2.2913
245000,-219.3006,2.4523
250000,-221.5864,2.2658
255000,-220.2675,2.2306
260000,-244.2464,2.3409
265000,-239.8977,2.1247
270000,-248.1430,2.2697
275000,-240.5458,2.2926
280000,-253.7357,2.1007
285000,-228.8650,1.7216
290000,-212.2054,1.6571
295000,-185.3512,1.5198
300000,-255.9530,1.7692
305000,-233.7495,1.7735
310000,-203.0668,1.6092
315000,-227.7495,1.5962
320000,-239.7138,2.0002
325000,-204.0875,1.9157
330000,-261.7596,2.2668
335000,-253.4217,2.3218
340000,-207.9053,2.3182
345000,-246.1469,2.2884
350000,-233.3067,2.1469
355000,-247.8271,1.5983
360000,-217.6370,1.9932
365000,-239.6175,1.7862
370000,-244.2449,1.8522
375000,-244.0544,2.2927
380000,-245.3591,2.0916
385000,-218.8736,2.1495
390000,-274.0127,2.2390
395000,-230.7895,2.2585
400000,-250.0444,2.0171
405000,-235.0361,1.6801
410000,-198.4588,1.8449
415000,-231.4080,1.8508
420000,-266.7806,1.7273
425000,-237.5943,2.0945
430000,-263.9531,1.9949
435000,-262.9917,2.0859
440000,-228.9515,2.1160
445000,-223.5635,1.6760
450000,-169.7152,1.4896
455000,-228.7772,1.4805
460000,-245.1766,1.4824
465000,-195.5904,1.7951
470000,-223.7852,1.3397
475000,-216.1023,1.3980
480000,-255.0411,1.6069
485000,-248.1662,2.5164
490000,-223.4388,2.0622
495000,-221.2543,1.9250
500000,-216.4293,2.2934
