frames,reward,dist
5410,0.0000,0.0743
10820,0.0000,0.0301
16250,0.0000,0.0931
21680,0.0000,0.0174
27110,0.0000,0.0513
32530,0.0000,0.0286
37960,0.0000,0.0315
43400,0.0000,0.0306
48840,0.0000,0.0607
54250,0.0000,0.1175
59660,0.0000,0.1533
65060,0.0000,0.7632
70470,0.0000,0.7445
75510,0.0000,0.6638
80580,0.0000,0.7346
85950,0.0000,0.4143
91240,0.0000,0.4868
96380,0.0000,0.5073
101570,0.0000,0.5819
106740,0.0000,0.5191
112160,0.0000,0.6353
117690,0.0000,0.5192
122720,0.0000,0.4640
128110,0.0000,0.4107
133130,0.0000,0.3159
138660,0.0000,0.4932
143680,0.0000,0.3473
148890,0.0000,0.5226
154050,0.0000,0.8804
159170,0.0000,0.8214
164200,0.0000,0.8211
169680,0.0000,1.0497
174710,0.0000,1.0011
180090,0.1000,1.0461
185580,0.0000,0.9281
191140,0.0000,1.0948
196140,0.0000,1.1421
201580,0.0000,1.0650
206600,0.0000,1.1086
211880,0.0000,1.0811
217220,0.0000,1.0164
222670,0.0000,1.1144
227680,0.3000,1.0696
232690,0.0000,1.0498
237850,0.0000,1.0499
242890,0.0000,1.0364
248480,0.0000,0.9656
253830,0.0000,1.1030
259130,0.0000,1.0695
264520,0.0000,1.0775
269550,0.0000,1.0016
274550,0.0000,1.1020
279870,0.0000,0.9667
285290,0.0000,1.1105
290470,0.1000,1.0409
295860,0.0000,1.0645
301250,0.0000,1.2266
306790,0.0000,1.1321
312190,0.0000,1.2167
317240,0.0000,1.1402
322310,0.0000,1.0516
327650,0.0000,1.1175
332720,0.0000,1.0602
338250,0.0000,1.1661
343310,0.1000,1.1742
348400,0.0000,1.1449
353990,0.3000,1.1097
359500,0.0000,1.1948
364670,0.1000,1.1637
369690,0.5000,1.0217
374920,0.2000,1.1479
380490,0.1000,0.9756
385900,0.2000,1.1749
391200,0.0000,1.1806
396440,0.1000,1.0995
401490,0.4000,1.2769
406850,0.5000,1.3190
412250,0.2000,1.2567
417260,0.1000,1.3277
422730,0.0000,1.3490
428180,0.4000,1.2482
433240,0.2000,1.3123
438500,0.0000,1.3554
443660,0.6000,1.1853
449040,0.0000,1.3259
454310,0.1000,1.3303
459670,0.6000,1.1327
464830,0.8000,1.1244
470300,0.4000,1.1877
475800,0.4000,1.1942
481040,0.6000,1.2154
486590,0.8000,1.1634
491690,0.1000,1.3020
497090,0.2000,1.3197
500000,0.7000,1.2456
